Date,ID,Treatment,Length
20190628,H1_T6,Ambient,5.191
20190628,H1_T7,Elevated,3.877
20190628,H1_T7,Elevated,3.973
20190628,H1_T7,Elevated,4.416
20190628,H1_T7,Elevated,3.383
20190628,H1_T7,Elevated,3.076
20190628,H1_T7,Elevated,4.198
20190628,H1_T7,Elevated,4.881
20190628,H1_T7,Elevated,3.474
20190628,H1_T7,Elevated,3.829
20190628,H1_T7,Elevated,3.889
20190628,H1_T7,Elevated,5.011
20190628,H1_T7,Elevated,4.546
20190628,H1_T7,Elevated,4.012
20190628,H1_T7,Elevated,3.776
20190628,H1_T7,Elevated,4.792
20190628,H1_T7,Elevated,3.807
20190628,H1_T7,Elevated,3.215
20190628,H1_T7,Elevated,4.03
20190628,H1_T7,Elevated,4.141
20190628,H1_T7,Elevated,3.971
20190628,H1_T7,Elevated,4.042
20190628,H1_T7,Elevated,3.596
20190628,H1_T7,Elevated,3.733
20190628,H1_T7,Elevated,4.14
20190628,H1_T7,Elevated,3.563
20190628,H1_T7,Elevated,4.896
20190628,H1_T7,Elevated,4.034
20190628,H1_T7,Elevated,4.079
20190628,H1_T8,Ambient,3.649
20190628,H1_T8,Ambient,2.973
20190628,H1_T8,Ambient,3.009
20190628,H1_T8,Ambient,3.967
20190628,H1_T8,Ambient,4.374
20190628,H1_T8,Ambient,3.851
20190628,H1_T8,Ambient,2.775
20190628,H1_T8,Ambient,3.146
20190628,H1_T8,Ambient,2.896
20190628,H1_T8,Ambient,3.024
20190628,H1_T8,Ambient,3.305
20190628,H1_T8,Ambient,3.769
20190628,H1_T8,Ambient,3.304
20190628,H1_T8,Ambient,3.117
20190628,H1_T8,Ambient,2.78
20190628,H1_T8,Ambient,2.98
20190628,H1_T8,Ambient,3.096
20190628,H1_T8,Ambient,3.967
20190628,H1_T8,Ambient,2.393
20190628,H1_T8,Ambient,3.588
20190628,H1_T8,Ambient,3.124
20190628,H1_T8,Ambient,3.765
20190628,H1_T8,Ambient,3.51
20190628,H1_T8,Ambient,2.85
20190628,H1_T8,Ambient,2.938
20190628,H1_T8,Ambient,3.032
20190628,H1_T8,Ambient,2.962
20190628,H1_T8,Ambient,2.865
20190628,H1_T8,Ambient,3.215
20190628,H1_T8,Ambient,2.656
20190628,H1_T8,Ambient,2.818
20190628,H1_T8,Ambient,2.776
20190628,H1_T8,Ambient,3.088
20190628,H1_T8,Ambient,3.592
20190628,H1_T8,Ambient,3.153
20190628,H1_T8,Ambient,4.154
20190628,H1_T8,Ambient,3.219
20190628,H1_T8,Ambient,4.192
20190628,H1_T8,Ambient,4.978
20190628,H1_T8,Ambient,3.98
20190628,H1_T8,Ambient,3.105
20190628,H1_T8,Ambient,3.625
20190628,H1_T8,Ambient,3.738
20190628,H1_T8,Ambient,3.202
20190628,H1_T8,Ambient,4.339
20190628,H1_T8,Ambient,3.601
20190628,H1_T8,Ambient,3.808
20190628,H1_T8,Ambient,3.604
